id,name,type
dietrich,wolfgang dietrich,1
porth,wilfried porth,1
gaiser,bernd gaiser,1
jenner,hartmut jenner,1
ohlicher,hermann ohlicher,1
reiner,franz reiner,1
sugg,bertram sugg,1
benzbank,mercedes benz bank,0
jako,jako,0
krombacher,krombacher,0
mercedes,mercedes benz,0
kaercher,kärcher ag,0
vfb,aufsichtsrat vfb,0
